step,loss,train_reward,mean_divergence,mask_fraction,kl_mean,entropy_mean,ratio_max,response_length,gpu_hours,cpu_load_1m,cpu_rss_gb,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_peak_gb
1,-4.8875852371566e-05,0.05000000074505806,0.0,0.0,0.0,7.03849458694458,1.0,255.75,0.0020024387704001534,1.06298828125,0.0018195807933807373,5.297340393066406,10.064453125,8.723749160766602
2,1.862645149230957e-09,0.07500000298023224,0.0,0.0,0.0,7.045762062072754,1.0,256.0,0.00384109980530209,1.0576171875,0.0018195807933807373,5.351678848266602,18.787109375,9.778024196624756
3,-0.0,0.10000000149011612,0.0,0.0,0.0,7.011317253112793,1.0,256.0,0.005706893271870083,1.04833984375,0.0018195807933807373,5.134328842163086,18.787109375,9.778024196624756
4,-2.4438682885374874e-05,0.02500000037252903,0.0,0.0,0.0,7.36121940612793,1.0,255.75,0.007549056874381171,1.04443359375,0.0018510818481445312,6.143435478210449,18.810546875,9.778024196624756
5,-0.0,0.05000000074505806,0.0,0.0,0.0,7.270534515380859,1.0,256.0,0.009383385380109152,1.04052734375,0.0018526315689086914,7.145565986633301,18.810546875,10.575771808624268
6,1.862645149230957e-09,0.07500000298023224,0.0,0.0,0.0,6.969208717346191,1.0,256.0,0.011353914009200203,1.03369140625,0.0018526315689086914,6.855764865875244,18.810546875,10.839858531951904
7,1.862645149230957e-09,0.07500000298023224,0.0,0.0,0.0,7.089855194091797,1.0,256.0,0.01321657293372684,1.03076171875,0.0018529891967773438,6.882933139801025,18.810546875,10.908945083618164
8,2.4439797925879247e-05,0.07500000298023224,0.0,0.0,0.0,6.882435321807861,1.0,255.75,0.015043749279446073,1.02783203125,0.0018531084060668945,6.052872657775879,18.810546875,11.13341474533081
9,1.8480932340025902e-09,0.07500000298023224,0.0,0.0,0.0,7.068787097930908,1.0,256.0,0.016911465724309287,1.02294921875,0.0018532276153564453,6.968049049377441,18.810546875,11.13341474533081
10,-4.8875856009544805e-05,0.05000000074505806,0.0,0.0,0.0,7.059220790863037,1.0,255.75,0.018770841161410014,1.02099609375,0.0018532276153564453,6.922768592834473,18.810546875,11.13341474533081
