step,loss,train_reward,group_reward_std,clip_fraction,kl_mean,entropy_mean,ratio_max,response_length,gpu_hours,cpu_load_1m,cpu_rss_gb,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_peak_gb
1,2.2351741790771484e-08,0.15625,0.0974278524518013,0.0,0.0,0.5611320734024048,1.0,256.0,0.0014695040384928,0.5556640625,0.0018201135098934,15.670066833496094,37.412109375,33.343093395233154
2,2.2351741790771484e-08,0.3812500238418579,0.2922835648059845,0.0,0.0,0.4839392006397247,1.0,256.0,0.0029512833886676,0.59130859375,0.0018201135098934,15.89438247680664,41.251953125,38.17834138870239
3,2.9336661100387573e-08,0.2687500119209289,0.2099278569221496,0.0,0.0,0.5166807174682617,1.0,256.0,0.0042271132601632,0.62451171875,0.0018201135098934,15.023122787475586,41.294921875,38.17834138870239
1,2.2351741790771484e-08,0.15625,0.0974278524518013,0.0,0.0,0.5611320734024048,1.0,256.0,0.0014164930582046,0.37451171875,0.0018200129270553,15.670066833496094,37.412109375,33.343093395233154
2,2.2351741790771484e-08,0.3812500238418579,0.2922835648059845,0.0,0.0,0.4839392006397247,1.0,256.0,0.0027923550870683,0.4248046875,0.0018200129270553,15.89438247680664,41.251953125,38.17834138870239
3,2.9336661100387573e-08,0.2687500119209289,0.2099278569221496,0.0,0.0,0.5166807174682617,1.0,256.0,0.0039821513493855,0.47119140625,0.0018200129270553,15.023122787475586,41.294921875,38.17834138870239
1,0.0015515240374952,0.125,0.1232011169195175,0.006591796875,-0.0001760906307026,7.044130325317383,1.495998501777649,256.0,0.0015263001124064,0.1845703125,0.0018200203776359,5.302609443664551,16.751953125,14.639718055725098
2,-0.0005568374763242,0.0687500014901161,0.0358253195881843,0.006591796875,0.0020270835375413,7.022023677825928,1.3549290895462036,256.0,0.0029008870654635,0.25,0.0018200203776359,5.356282234191895,30.677734375,19.22489833831787
3,1.1408701539039612e-08,0.2437500059604644,0.2422796189785003,0.0,0.0,7.070976257324219,1.0,256.0,0.0042704214652379,0.31005859375,0.0018200203776359,5.138920307159424,30.677734375,19.22489833831787
4,1.4086253941059113e-08,0.09375,0.134026437997818,0.0,0.0,6.975412368774414,1.0,256.0,0.0056602245569229,0.36572265625,0.0019209943711757,6.148496627807617,30.703125,19.22489833831787
5,0.0006605800881516,0.0625,0.0466506332159042,0.0078125,0.0015633389120921,6.954104423522949,1.3676568269729614,256.0,0.0070298930009206,0.4169921875,0.0019224248826503,7.149041652679443,30.703125,19.850505828857425
6,0.0002416492206975,0.0375000014901161,0.0341506339609622,0.0095233926549553,-0.0026972950436174,7.011025667190552,1.4500654935836792,255.9375,0.0083850188387764,0.4638671875,0.0019226633012294,6.858558177947998,30.703125,19.850505828857425
7,0.0003197889891453,0.1187500059604644,0.1373758018016815,0.0065938243642449,-0.0010581345704849,6.955090522766113,1.538947820663452,255.9375,0.0098011887073516,0.5068359375,0.0019226633012294,6.885728359222412,30.703125,19.850505828857425
8,2.0954757928848267e-09,0.0562500022351741,0.0449759513139724,0.0,0.0,6.923989295959473,1.0,256.0,0.0112363249725765,0.54638671875,0.0019230209290981,6.057929039001465,30.703125,19.93568992614746
9,0.0,0.0437500029802322,0.048325315117836,0.0,0.0,7.032874345779419,1.0,256.0,0.0127275918589697,0.5830078125,0.0019230209290981,6.971432685852051,30.703125,19.93568992614746
