step,loss,train_reward,mean_topk_divergence,mask_fraction,kl_mean,entropy_mean,ratio_max,response_length,gpu_hours,cpu_load_1m,cpu_rss_gb,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_peak_gb
20,1.4551915228366852e-11,0.050000000745058,0.0,0.0,0.0,7.107692718505859,1.0,256.0,0.0258353356520334,0.82177734375,0.0018718279898166,6.152491569519043,25.771484375,10.746058464050291
21,-0.0,0.050000000745058,0.0,0.0,0.0,6.900300025939941,1.0,256.0,0.0271022480063968,0.82177734375,0.0018718279898166,6.791980266571045,25.771484375,10.746058464050291
22,-5.820766091346741e-10,0.025000000372529,0.0,0.0,0.0,6.855591773986816,1.0,256.0,0.0283684355682796,0.83642578125,0.0018718279898166,6.918769836425781,25.771484375,10.746058464050291
23,-6.693881005048752e-10,0.025000000372529,0.0,0.0,0.0,6.840917110443115,1.0,256.0,0.0296280189355214,0.849609375,0.0018718279898166,6.991218566894531,25.771484375,10.746058464050291
24,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.100298881530762,1.0,256.0,0.0308911666605207,0.86181640625,0.0018718279898166,5.87174654006958,25.771484375,10.746058464050291
25,-3.637978807091713e-12,0.050000000745058,0.0,0.0,0.0,7.1017913818359375,1.0,256.0,0.0321895082129372,0.873046875,0.0018718279898166,6.847695827484131,25.771484375,10.746058464050291
26,-4.8875841457629576e-05,0.050000000745058,0.0,0.0,0.0,6.9954915046691895,1.0,255.75,0.0334787944290373,0.88330078125,0.0018719471991062,6.666572093963623,25.771484375,10.746058464050291
27,-7.331193774007261e-05,0.0750000029802322,0.0,0.0,0.0,7.026255130767822,1.0,255.75,0.0347462655438317,0.89306640625,0.0018719471991062,6.920148849487305,25.771484375,10.746058464050291
28,-0.0,0.050000000745058,0.0,0.0,0.0,7.06183671951294,1.0,256.0,0.0360273494985368,0.90185546875,0.0018720664083957,5.926083087921143,25.771484375,10.746058464050291
29,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.108115196228027,1.0,256.0,0.0373000797298219,0.91015625,0.0018720664083957,6.925790786743164,25.771484375,10.746058464050291
