step,loss,train_reward,clip_fraction,kl_mean,entropy_mean,ratio_max,response_length,gpu_hours,cpu_load_1m,cpu_rss_gb,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_peak_gb
19,-0.1409117430448532,0.02500000037252903,0.0,0.0,7.045587539672852,1.0,256.0,0.03619520160886976,0.923828125,0.0019458085298538208,4.47368860244751,25.7734375,9.660305500030518
20,-0.14111854135990143,0.07500000298023224,0.0,0.0,7.055927276611328,1.0,256.0,0.038022481467988756,0.93017578125,0.0019459277391433716,3.628620147705078,25.7734375,9.67665433883667
21,-0.1409778743982315,0.02500000037252903,0.0,0.0,7.048893928527832,1.0,256.0,0.03999201840824551,0.94140625,0.0019459277391433716,4.49014139175415,25.7734375,9.67665433883667
22,-0.13890787959098816,0.02500000037252903,0.0,0.0,6.945394039154053,1.0,256.0,0.04196954800022973,0.9462890625,0.0019459277391433716,4.521842002868652,25.7734375,9.67665433883667
23,-0.1374608874320984,0.02500000037252903,0.0,0.0,6.873044490814209,1.0,256.0,0.04393871148427327,0.955078125,0.0019459277391433716,4.53995418548584,25.7734375,9.67665433883667
24,-0.14050230383872986,0.02500000037252903,0.0,0.0,7.025115013122559,1.0,256.0,0.045797019733322994,0.958984375,0.0019459277391433716,3.55842924118042,25.7734375,9.67665433883667
25,-0.14152370393276215,0.07500000298023224,0.0,0.0,7.07618522644043,1.0,256.0,0.04766963111029731,0.96240234375,0.0019459277391433716,4.501619815826416,25.7734375,9.67665433883667
26,-0.14315265417099,0.07500000298023224,0.0,0.0,7.157632827758789,1.0,256.0,0.04962649921576182,0.96875,0.0019460469484329224,4.4563374519348145,25.7734375,9.67665433883667
27,-0.14061002433300018,0.5,0.0,0.0,7.030501365661621,1.0,256.0,0.05144687109523349,0.9716796875,0.0019460469484329224,4.519736289978027,25.7734375,9.67665433883667
28,-0.14027203619480133,0.05000000074505806,0.0,0.0,7.013602256774902,1.0,256.0,0.05326323337025113,0.97412109375,0.0019460469484329224,3.5720133781433105,25.7734375,9.67665433883667
29,-0.14167676866054535,0.10000000149011612,0.0,0.0,7.08383846282959,1.0,256.0,0.05520392563607958,0.978515625,0.0019460469484329224,4.523007392883301,25.7734375,9.67665433883667
30,-0.1406707763671875,0.07500000298023224,0.0,0.0,7.033539295196533,1.0,256.0,0.05712445510758294,0.98046875,0.0019460469484329224,4.643008708953857,25.7734375,10.235880851745605
31,-0.13873668015003204,0.05000000074505806,0.0,0.0,6.936834335327148,1.0,256.0,0.05911348018381331,0.98388671875,0.0019460469484329224,4.584137916564941,25.7734375,10.235880851745605
32,-0.1429508775472641,0.30000001192092896,0.0,0.0,7.147544860839844,1.0,256.0,0.06093099276224772,0.9853515625,0.0019460469484329224,3.553901195526123,25.7734375,10.235880851745605
33,-0.138596773147583,0.05000000074505806,0.0,0.0,6.92983865737915,1.0,256.0,0.06274189644389683,0.98681640625,0.0019460469484329224,4.5320329666137695,25.7734375,10.235880851745605
34,-0.14294102787971497,0.32500001788139343,0.0,0.0,7.147052764892578,1.0,256.0,0.06469967709647284,0.9892578125,0.0019460469484329224,4.541089057922363,25.7734375,10.235880851745605
35,-0.14326997101306915,0.05000000074505806,0.0,0.0,7.163498401641846,1.0,256.0,0.06669002175331115,0.990234375,0.0019460469484329224,4.538825035095215,25.7734375,10.235880851745605
36,-0.14019940793514252,0.05000000074505806,0.0,0.0,7.009970664978027,1.0,256.0,0.0686099734571245,0.9912109375,0.0019461661577224731,3.712395191192627,25.7734375,10.269350051879883
37,-0.13784319162368774,0.0,0.0,0.0,6.892159938812256,1.0,256.0,0.07051903724670411,0.9931640625,0.0019461661577224731,4.521078586578369,25.7734375,10.269350051879883
38,-0.143340602517128,0.10000000149011612,0.0,0.0,7.167030334472656,1.0,256.0,0.07246337592601776,0.994140625,0.0019464045763015747,4.48258638381958,25.7734375,10.269350051879883
39,-0.14080266654491425,0.05000000074505806,0.0,0.0,7.040133476257324,1.0,256.0,0.07428923878404829,0.99462890625,0.0019464045763015747,4.493908405303955,25.7734375,10.269350051879883
40,-0.14191339910030365,0.07500000298023224,0.0,0.0,7.095670223236084,1.0,256.0,0.0761496983634101,0.99560546875,0.0019464045763015747,3.6625847816467285,25.7734375,10.269350051879883
41,-0.14345970749855042,0.02500000037252903,0.0,0.0,7.172985553741455,1.0,256.0,0.0781184783246782,0.99609375,0.0019464045763015747,4.564579963684082,25.7734375,10.269350051879883
42,-0.13919475674629211,0.05000000074505806,0.0,0.0,6.959737777709961,1.0,256.0,0.0800361979007721,0.9970703125,0.0019464045763015747,4.492125034332275,25.7734375,10.269350051879883
43,-0.1445612758398056,0.10000000149011612,0.0,0.0,7.228063583374023,1.0,256.0,0.08190791500939264,0.99755859375,0.0019464045763015747,4.532881736755371,25.7734375,10.269350051879883
44,-0.14492805302143097,0.05000000074505806,0.0,0.0,7.246402740478516,1.0,256.0,0.083763640721639,0.998046875,0.0019464045763015747,3.5833334922790527,25.7734375,10.269350051879883
45,-0.1455041915178299,0.07500000298023224,0.0,0.0,7.275209426879883,1.0,256.0,0.08559118641747368,0.9990234375,0.0019464045763015747,4.509914875030518,25.7734375,10.269350051879883
46,-0.1423010677099228,0.05000000074505806,0.0,0.0,7.115053176879883,1.0,256.0,0.08741684436798096,0.99951171875,0.0019464045763015747,4.557465553283691,25.7734375,10.269350051879883
47,-0.1429171860218048,0.05000000074505806,0.0,0.0,7.145859718322754,1.0,256.0,0.08924937744935353,1.0,0.0019464045763015747,4.672941207885742,25.7734375,10.446324825286865
48,-0.14117993414402008,0.07500000298023224,0.0,0.0,7.05899715423584,1.0,256.0,0.09112737271520827,1.0,0.0019465237855911255,3.6422042846679688,25.7734375,10.446324825286865
49,-0.14849889278411865,0.05000000074505806,0.0,0.0,7.424944877624512,1.0,256.0,0.09320887439780765,1.0,0.0019465237855911255,4.487310886383057,25.7734375,10.446324825286865
50,-0.14392997324466705,0.30000001192092896,0.0,0.0,7.196499824523926,1.0,256.0,0.09505832307868534,1.0,0.0019465237855911255,4.5982584953308105,25.7734375,10.446324825286865
51,-0.14012131094932556,0.02500000037252903,0.0,0.0,7.006065368652344,1.0,256.0,0.09702706661489274,1.0,0.0019465237855911255,4.505423069000244,25.7734375,10.446324825286865
52,-0.14334377646446228,0.10000000149011612,0.0,0.0,7.16718864440918,1.0,256.0,0.09900857706864676,1.0,0.0019465237855911255,3.5674853324890137,25.7734375,10.446324825286865
53,-0.14167356491088867,0.07500000298023224,0.0,0.0,7.083678245544434,1.0,256.0,0.10086187548107571,1.0,0.0019465237855911255,4.609334468841553,25.7734375,10.446324825286865
54,-0.13947239518165588,0.0,0.0,0.0,6.9736199378967285,1.0,256.0,0.10274464547634125,1.0,0.0019466429948806763,4.650088787078857,25.7734375,10.446324825286865
55,-0.13825157284736633,0.02500000037252903,0.0,0.0,6.912578582763672,1.0,256.0,0.10462820172309875,1.0,0.0019466429948806763,4.518767356872559,25.7734375,10.446324825286865
56,-0.13874752819538116,0.0,0.0,0.0,6.937376499176025,1.0,256.0,0.10645263585779402,1.0,0.0019466429948806763,3.644468307495117,25.7734375,10.446324825286865
57,-0.1404961347579956,0.10000000149011612,0.0,0.0,7.024806976318359,1.0,256.0,0.10830042547649807,1.0,0.0019466429948806763,4.575967788696289,25.7734375,10.446324825286865
58,-0.14124640822410583,0.05000000074505806,0.0,0.0,7.062320232391357,1.0,256.0,0.11011328399181367,1.0,0.0019466429948806763,4.514832973480225,25.7734375,10.446324825286865
59,-0.14059077203273773,0.05000000074505806,0.0,0.0,7.029538631439209,1.0,256.0,0.11195778124862248,1.0,0.0019466429948806763,4.512568950653076,25.7734375,10.446324825286865
60,-0.14162799715995789,0.05000000074505806,0.0,0.0,7.081399917602539,1.0,256.0,0.11382190234131283,1.0,0.0019466429948806763,3.5810694694519043,25.7734375,10.446324825286865
61,-0.14176467061042786,0.05000000074505806,0.0,0.0,7.088233947753906,1.0,256.0,0.11571603013409508,1.0,0.0019466429948806763,4.501619815826416,25.7734375,10.446324825286865
62,-0.10618476569652557,0.07500000298023224,0.0,0.0,5.309238433837891,1.0,256.0,0.11775722483793895,1.0,0.001946762204170227,4.528792381286621,25.7734375,10.446324825286865
63,-0.14451280236244202,0.05000000074505806,0.0,0.0,7.225640296936035,1.0,256.0,0.11983363873428769,1.0,0.0019468814134597778,4.51067590713501,25.7734375,10.446324825286865
64,-0.1384793221950531,0.2750000059604645,0.0,0.0,6.923965930938721,1.0,256.0,0.12167170153723823,1.0,0.0019468814134597778,3.578805446624756,25.7734375,10.446324825286865
65,-0.14672212302684784,0.07500000298023224,0.0,0.0,7.3324408531188965,1.0,255.75,0.12356192032496134,1.0,0.0019468814134597778,4.533928871154785,25.7734375,10.446324825286865
66,-0.14051324129104614,0.05000000074505806,0.0,0.0,7.025662422180176,1.0,256.0,0.1254792035288281,1.0,0.0019468814134597778,4.709129333496094,34.673828125,10.716753005981445
67,-0.13937237858772278,0.02500000037252903,0.0,0.0,6.968619346618652,1.0,256.0,0.12747939553525714,1.0,0.0019468814134597778,4.533928871154785,34.673828125,10.716753005981445
68,-0.13835471868515015,0.02500000037252903,0.0,0.0,6.917736053466797,1.0,256.0,0.12946207331286536,1.0,0.0019468814134597778,3.5561652183532715,34.673828125,10.716753005981445
69,-0.14039748907089233,0.07500000298023224,0.0,0.0,7.019874572753906,1.0,256.0,0.1315493334664239,1.0,0.0019468814134597778,4.5121846199035645,34.673828125,10.716753005981445
70,-0.14060312509536743,0.07500000298023224,0.0,0.0,7.030156135559082,1.0,256.0,0.13350728346241844,1.0,0.0019468814134597778,4.5121846199035645,34.673828125,10.716753005981445
71,-0.1402004510164261,0.0,0.0,0.0,7.0100226402282715,1.0,256.0,0.1355101258224911,1.0,0.0019468814134597778,4.5982279777526855,34.673828125,10.716753005981445
72,-0.13838553428649902,0.02500000037252903,0.0,0.0,6.919277191162109,1.0,256.0,0.13735805809497834,1.0,0.0019468814134597778,3.653524398803711,34.673828125,10.716753005981445
